date,home_team,away_team,home_goals,away_goals,result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,odds_home,odds_draw,odds_away,league,season
18/08/2023,Werder Bremen,Bayern Munich,0,4,A,6,25,1,10,7.5,6.5,1.3,Bundesliga,2023/24
19/08/2023,Augsburg,M'gladbach,4,4,D,20,9,8,6,2.7,3.6,2.45,Bundesliga,2023/24
19/08/2023,Hoffenheim,Freiburg,1,2,A,24,17,5,8,2.3,3.6,2.9,Bundesliga,2023/24
19/08/2023,Leverkusen,RB Leipzig,3,2,H,11,13,7,6,2.45,3.6,2.75,Bundesliga,2023/24
19/08/2023,Stuttgart,Bochum,5,0,H,19,4,9,1,1.65,4.33,4.5,Bundesliga,2023/24
19/08/2023,Wolfsburg,Heidenheim,2,0,H,18,13,8,1,1.6,4.2,5.25,Bundesliga,2023/24
19/08/2023,Dortmund,FC Koln,1,0,H,12,11,2,4,1.4,5.0,7.0,Bundesliga,2023/24
20/08/2023,Union Berlin,Mainz,4,1,H,12,9,7,3,1.95,3.5,3.9,Bundesliga,2023/24
20/08/2023,Ein Frankfurt,Darmstadt,1,0,H,10,11,4,2,1.36,5.25,7.5,Bundesliga,2023/24
25/08/2023,RB Leipzig,Stuttgart,5,1,H,20,8,11,3,1.5,4.75,5.75,Bundesliga,2023/24
26/08/2023,Bochum,Dortmund,1,1,D,17,13,6,3,7.0,5.0,1.4,Bundesliga,2023/24
26/08/2023,Darmstadt,Union Berlin,1,4,A,18,12,6,6,4.0,3.3,1.95,Bundesliga,2023/24
26/08/2023,FC Koln,Wolfsburg,1,2,A,14,9,2,6,2.3,3.4,3.0,Bundesliga,2023/24
26/08/2023,Freiburg,Werder Bremen,1,0,H,23,16,6,2,1.7,3.75,4.75,Bundesliga,2023/24
26/08/2023,Heidenheim,Hoffenheim,2,3,A,19,16,9,6,3.0,3.6,2.25,Bundesliga,2023/24
26/08/2023,M'gladbach,Leverkusen,0,3,A,13,24,2,10,3.8,3.8,1.85,Bundesliga,2023/24
27/08/2023,Mainz,Ein Frankfurt,1,1,D,13,8,7,2,2.38,3.5,2.88,Bundesliga,2023/24
27/08/2023,Bayern Munich,Augsburg,3,1,H,19,11,6,2,1.08,12.0,19.0,Bundesliga,2023/24
01/09/2023,Dortmund,Heidenheim,2,2,D,20,15,9,6,1.25,7.0,9.5,Bundesliga,2023/24
02/09/2023,Augsburg,Bochum,2,2,D,11,22,3,9,2.0,3.75,3.75,Bundesliga,2023/24
02/09/2023,Hoffenheim,Wolfsburg,3,1,H,11,14,5,7,2.5,3.6,2.63,Bundesliga,2023/24
02/09/2023,Leverkusen,Darmstadt,5,1,H,24,5,13,1,1.2,7.0,12.0,Bundesliga,2023/24
02/09/2023,Stuttgart,Freiburg,5,0,H,13,11,6,5,2.2,3.5,3.2,Bundesliga,2023/24
02/09/2023,Werder Bremen,Mainz,4,0,H,12,12,6,3,2.63,3.5,2.55,Bundesliga,2023/24
02/09/2023,M'gladbach,Bayern Munich,1,2,A,8,25,3,9,8.5,5.75,1.3,Bundesliga,2023/24
03/09/2023,Ein Frankfurt,FC Koln,1,1,D,12,6,4,2,2.1,3.4,3.5,Bundesliga,2023/24
03/09/2023,Union Berlin,RB Leipzig,0,3,A,4,15,1,8,3.4,3.25,2.2,Bundesliga,2023/24
15/09/2023,Bayern Munich,Leverkusen,2,2,D,15,12,9,5,1.65,4.5,4.5,Bundesliga,2023/24
16/09/2023,FC Koln,Hoffenheim,1,3,A,17,17,7,5,2.25,3.6,3.1,Bundesliga,2023/24
16/09/2023,Freiburg,Dortmund,2,4,A,14,14,4,6,3.1,3.8,2.1,Bundesliga,2023/24
16/09/2023,Mainz,Stuttgart,1,3,A,15,16,3,6,2.63,3.4,2.7,Bundesliga,2023/24
16/09/2023,RB Leipzig,Augsburg,3,0,H,9,16,6,4,1.25,7.0,10.0,Bundesliga,2023/24
16/09/2023,Wolfsburg,Union Berlin,2,1,H,8,17,3,5,2.25,3.4,3.2,Bundesliga,2023/24
16/09/2023,Bochum,Ein Frankfurt,1,1,D,24,8,10,6,2.88,3.6,2.38,Bundesliga,2023/24
